item_name,price,description,dietery,features,rating
Soup Meal,215,Serves 1,Veg,[],4.2
Indian Meal,300,Serves 1,Veg,[],4.4
Non-Veg Soup Meal,225,Serves 1,Non Veg,[],4.0
Veg. Deluxe Thali - Veg,400,"(Paneer, Dry Veg, Dal, Rice, 1 Naan, 1 Paratha, Raita, Salad, Sweet)",Veg,[],4.5
Non Veg Deluxe Thali,450,"(1 Pc. Chk Curry Prep. Kebab/ Tikka, Biryani, Raita, 1 Naan, 1 Paratha, Salad, Sweet)",Veg,[],4.6
Cream of Tomato Veg,180,Creamy mild tomato flavoured soup 400 ml,Veg,['Best Seller'],4.2
Hot ' N Sour Soup Veg,175,Hot and spicy soup made with mix vegitables and soy souce. 400 ml,Non Veg,[],4.6
Lemon Coriander Veg,185,It’s a clear soup made with mix vegitables lemon and corienders leaves 400 ml,Veg,[],5.0
Manchow Soup Veg,190,"Mix vegitable soup made with garlic ,ginger,soy souce and ground paper. 400 ml",Veg,['Best Seller'],4.7
Peking Soup Veg,180,"Hot and mild soup made with mix vegitables,mashrooms and soy sauce. 400 ml",Non Veg,[],4.3
Sweet Corn Soup Veg,175,Creamy soup made with sweet corn kernels . 400 ml,Veg,[],3.8
Hot ' N Sour Soup Non Veg,185,Hot and spicy soup made with mix vegitables and soy souce and chicken chunks. 400 ml,Veg,[],4.8
Manchow Soup Non Veg,190,"Mix vegitable soup made with garlic ,ginger,soy souce and ground paper and chicken chunks. 400 ml",Veg,[],4.5
Peking Soup Non Veg,185,"Hot and mild soup made with mix vegitables,mashrooms and soy souce and chicken chunks. 400 ml",Veg,[],4.7
Sweet Corn Soup Non Veg,195,Creamy soup made with sweet corn kernels and chicken chunks. 400 ml,Veg,[],4.6
Paneer Tikka (8pcs),410,8 Pcs Paneer Tikka served with mint sauce,Veg,[],4.7
Tandoori Aloo,365,Paneer stuffed potato snack that is marinated in tandoori masala. 8 Pcs,Non Veg,[],4.3
Tandoori Chicken,470,8 pcs Chicken Malai tikka serverd with mint dip and salad,Non Veg,[],4.2
Chicken Malai Tikka,490,Crispy american corns tossed in salt-pepper and chopped onion capsicum,Non Veg,[],4.5
Corn Salt & Pepper,390,Serves 1,Non Veg,[],4.9
Veg Rice Meal,300,Serves 1,Veg,[],4.9
Veg Chinese Meal,290,Serves 1,Veg,[],4.7
Soup Meal,215,Serves 1,Non Veg,[],4.2
Indian Meal,300,Serves 1,Non Veg,[],4.4
Non-Veg Chinese Meal,320,Serves 1,Veg,[],4.8
Non-Veg Rice Meal,310,Serves 1,Veg,[],4.4
Non-Veg Soup Meal,225,Serves 1,Veg,[],4.0
Non-Veg Indian Meal,320,"(Paneer, Dry Veg, Dal, Rice, 1 Naan, 1 Paratha, Raita, Salad, Sweet)",Veg,['Best Seller'],4.1
Veg. Deluxe Thali - Veg,400,"(1 Pc. Chk Curry Prep. Kebab/ Tikka, Biryani, Raita, 1 Naan, 1 Paratha, Salad, Sweet)",Veg,[],4.5
Non Veg Deluxe Thali,450,Creamy mild tomato flavoured soup 400 ml,Veg,[],4.6
Cream of Tomato Veg,180,Hot and spicy soup made with mix vegitables and soy souce. 400 ml,Veg,['Best Seller'],4.2
Hot ' N Sour Soup Veg,175,It’s a clear soup made with mix vegitables lemon and corienders leaves 400 ml,Non Veg,[],4.6
Lemon Coriander Veg,185,"Mix vegitable soup made with garlic ,ginger,soy souce and ground paper. 400 ml",Non Veg,[],5.0
Manchow Soup Veg,190,"Hot and mild soup made with mix vegitables,mashrooms and soy sauce. 400 ml",Non Veg,[],4.7
Peking Soup Veg,180,Creamy soup made with sweet corn kernels . 400 ml,Non Veg,[],4.3
Sweet Corn Soup Veg,175,Hot and spicy soup made with mix vegitables and soy souce and chicken chunks. 400 ml,Veg,[],3.8
Hot ' N Sour Soup Non Veg,185,"Mix vegitable soup made with garlic ,ginger,soy souce and ground paper and chicken chunks. 400 ml",Veg,['Best Seller'],4.8
Manchow Soup Non Veg,190,"Hot and mild soup made with mix vegitables,mashrooms and soy souce and chicken chunks. 400 ml",Non Veg,[],4.5
Peking Soup Non Veg,185,It’s a clear soup made with mix vegitables lemon and corienders leaves and chicken chunks. 400 ml,Veg,[],4.7
Lemon Coriander Non Veg,195,Creamy soup made with sweet corn kernels and chicken chunks. 400 ml,Veg,[],5.0
Sweet Corn Soup Non Veg,195,8 Pcs Paneer Tikka served with mint sauce,Veg,[],4.6
Paneer Tikka (8pcs),410,"Marinating & grilling mushrooms with spices, herbs and yogurt.8 Pcs",Veg,[],4.7
Stuffed Mushroom,450,"Cottage cheese, in a pickling spice blend.",Veg,[],4.4
Achari Paneer Tikka,415,8 pcs stuffed paneer tikka serverd with mint dip and tandoori onions,Veg,[],5.0
Stuffed Paneer Tikka (8pcs),425,Paneer stuffed potato snack that is marinated in tandoori masala. 8 Pcs,Non Veg,[],4.9
Tandoori Aloo,365,"Delicious starter made using mixed vegetables like carrot, beans, cabbage, peas, capsicum, potatoes and spices. 8 Pcs",Non Veg,[],4.3
Vegetable Seekh Kebab,340,(2 pcs Paneer Tikka. 2pcs. Paneer Malai Tikka. 2pcs Veg Seekh Kebab. 4pcs Tandoori Mushroom. 2pcs Tandoori Aloo),Non Veg,[],5.0
Veg.Tandoori Platter,750,"8 Pcs Chicken tikka , in a pickling spice blend.",Non Veg,[],4.4
Shami Kebabs,360,8 pcs Chicken Malai tikka serverd with mint dip and salad,Non Veg,[],4.2
Tandoori Chicken,470,8 pcs Chicken tikka serverd with mint dip and salad,Veg,[],5.0
Achari Chicken Tikka,490,8 pcs deep fried fish serverd with mint dip and salad,Veg,[],4.5
Chicken Malai Tikka,490,(2pcs. Chk Tikka. 2pcs. Chk Malai Tikka. 2pcs.Tandoori Chk. 2pcs Mutton Seekh. 2pcs Fish Fry),Veg,[],4.9
Chicken Tikka,480,8 pcs Fish tikka in ajwain flavour serverd with mint dip and salad,Veg,[],3.2
Fish Amritsari (Dry),570,Crispy american corns tossed in salt-pepper and chopped onion capsicum,Veg,[],3.5
Non-Veg. Tandoori Platter,890,Dry preparation of deep fried Mushroom chunks cooked with chinese sauces and spices and chillies (15-18 pcs Approx.),Veg,[],4.9
Ajwain Fish Tikka,570,Fries tossed in honey and spices and topped with sesame seed,Veg,[],4.3
Corn Salt & Pepper,390,Paneer Cubes stir fried in pan and tossed in chinese sauces and chillies approx-15-16 pcs - serves 2-3,Non Veg,[],4.4
Crispy Chilli Mushroom,440,Paneer cooked with Fusion of spices approx 15-16 Pcs - serves 2-3,Non Veg,[],4.9
Honey Chilli Fries,350,"Assorted vegetables stir fried in chinese sauces and spices, wrapped in spring roll sheets and deep fried - 6 pcs",Non Veg,[],3.9
Pan Fried Paneer Chilli,430,"Assorted vegetables tossed in chinese sauces and spices, wrapped in momo dough - option of fried - 8 pcs",Non Veg,[],4.6
Paneer 65,400,"Assorted vegetables tossed in chinese sauces and spices, wrapped in momo dough - option of steam - 8 pcs",Non Veg,[],4.9
Spring Rolls Veg,310,Paneer Cubes stir fried in pan and tossed in chinese sauces and chillies -approx 15-16 Pcs serves 2-3,Non Veg,[],4.4
Veg Momos(Fried),290,Dry preparation of deep fried veg balls cooked with chinese sauces and spices and chillies (15-18 pcs) 400 ML,Non Veg,[],4.6
Veg Momos(Steamed),290,Dry preparation of deep fried paneer cubes cooked in tangy chinese sauces and spices with chopped vegetables (15-18 pcs) 400 ML,Non Veg,[],4.5
Paneer Chilli Dry,435,Dry preparation of deep fried Mushroom chunks cooked in tangy chinese sauces and spices with chopped vegetables (15-18 pcs),Veg,[],4.8
Veg Manchurian Dry,430,Gravy preparation of deep fried veg balls cooked with chinese sauces and spices and chillies (12-15 pcs),Veg,[],3.5
Paneer Manchurian Dry,435,Chicken wings tossed in barbeque sauce and other spices - 6 pcs,Veg,[],4.5
Mushroom Manchurian Dry,450,Chicken cooked with Fusion of spices - serves 2-3,Veg,[],4.6
Veg Chilli Dry,420,Fried chicken drumette marinated and fried. Tossed in chinese sauces and chopped vegetables - 5 pcs,Veg,[],4.9
BBQ Chicken Wings,400,"Minced Chicken tossed in chinese sauces and spices, wrapped in momo dough - option of fried - 8 pcs",Veg,[],4.7
Chicken 65,440,"Minced Chicken tossed in chinese sauces and spices, wrapped in momo dough - option of steam - 8 pcs",Veg,[],4.1
Chicken Lollipop (5 Pcs),460,"Minced Chicken and vegetables stir fried in chinese sauces and spices, wrapped in spring roll sheets and deep fried - 6 pcs",Veg,[],4.2
Non Veg Momos(Fried),325,Chicken Cubes stir fried in pan and tossed in chinese sauces and chillies -approx 15-16 Pcs serves 2-3,Veg,[],4.9
Non Veg Momos(Steamed),325,Dry preparation of deep fried Chicken balls cooked in tangy chinese sauces and spices with chopped vegetables (15-18 pcs) 400 ML,Veg,[],4.5
Spring Rolls Non Veg,340,preparation of deep fried fish cubes cooked with chinese sauces and spices and chillies (12-15 pcs),Veg,[],3.7
Chilli Chicken Dry,480,Tandoori chicken tikka chunks coated with tandoori mayo and served with Fries & Dip (Served with Fries & Dip) 4 Pcs,Veg,[],4.9
Chicken Manchurian Dry,480,"It’s a double decker sandwich with chicken, egg and mutton in layers. A complete package for all non veg lovers, 4 Pcs served with Fries & Dip (Served with Fries & Dip)",Veg,[],2.6
Fish Chilli Dry,570,"Mixed veggies coated with coleslow and grilled ,served with Fries & Dip (Served with Fries & Dip) 4 Pcs",Non Veg,[],4.5
Chicken Tikka Sandwich,290,"Paneer tkka slice coated with mint mayo,served with Fries & Dip (Served with Fries & Dip) 4 Pcs",Non Veg,[],4.8
Non-Veg. Club Sandwich,285,(Served with Fries & Dip),Non Veg,[],4.9
Veg. Grilled Sandwich,240,Chineese style chilli chicken topped with tandoori mayo and served with Fries & Dip (Served with Fries & Dip),Non Veg,[],3.7
Paneer Tikka Sandwich,260,"Tandoori chicken tikka chunks topped with tandoori mayo and spices,served with Fries & Dip (Served with Fries & Dip)",Non Veg,[],3.8
Chicken Burger,230,Sliced tandoori paneer tikka topped with tandoori mayo served with Fries & Dip (Served with Fries & Dip),Non Veg,[],3.3
Chilli Chicken Burger,240,A mixed veggies burger patty topped with coleslaw and cheese slice served with Fries & Dip (Served with Fries & Dip),Non Veg,[],4.2
Chicken Tikka Burger,250,Garlic flavoured bread topped with mozzrila cheese (4 pcs),Non Veg,[],4.4
Paneer Tikka Burger,225,"Classic cheese and tomato (8"" pizza)",Non Veg,[],4.7
Veg. Burger With Cheese,190,"Pizza topped with tomato,cheese,capsicum and onion (Size-8"")",Non Veg,[],5.0
Garlic Bread with cheese,220,"8"" Pizza topped with chineese style chilli paneer",Non Veg,[],4.7
Classic Cheese & Tomato,330,"8"" Pizza topped with tandoori paneer tikka and green chilli",Veg,[],2.1
Tomato Cheese Capsicum Onion,345,"8"" Pizza topped with spicy paneer and mozzrilla cheese",Veg,[],5.0
Paneer Chilli Pizza,385,"8"" Pizza topped with Onion capsicum corn mashroom and mozzrilla cheese.",Non Veg,[],4.2
Paneer Tikka & Green Chilly,385,"8"" Pizza topped with hot and spicy chicken chunks and mozzrilla cheese",Non Veg,[],5.0
Paneer Pataka,400,"8"" Pizza topped with chineese style chilli chicken and mozzrilla cheese",Non Veg,[],5.0
Veggie Surprise,385,"8"" Pizza topped with Capsicum Onion and hot and spicy chicken .",Veg,[],4.1
Hot N ' Spicy Chicken,425,"8"" Pizza topped with Tandoori chicken tikka green chilli and mozzrilla cheese",Veg,[],2.5
China Town,425,Red concase sauce - (Served with 2 Pcs. Of Garlic Bread) - Choice of Penne,Veg,[],4.3
Chicken Supreme,425,Red concase sauce - (Served with 2 Pcs. Of Garlic Bread) - Choice of Penne,Veg,[],4.8
Chicken Tikka & Red Chilli,435,flacky wrap filled with kidney bean and exotic veggitables,Veg,[],3.5
Arabbiata Sauce Veg,360,flacky wrap filled with veggitables and spices,Veg,[],4.7
Arabbiata Sauce Non Veg,375,flacky paratha filled with chineese style paneer chilli,Veg,[],4.0
Italian Wrap,250,flacky wrap filled with assorted topping of veggies stir fry.,Veg,[],4.8
Indian Masala Wrap Veg,240,flacky paratha filled with chineese style Paneer chilli,Veg,[],4.7
Paneer Chilli Roll,240,"flacky paratha filled with assorted topping of veggies stir fry,Paneer and sauce",Non Veg,[],4.5
Mexican Wrap Veg,230,"flacky paratha filled with assorted topping of veggies stir fry,Paneer tikka and sauce",Non Veg,[],5.0
Paneer Chilly Wrap,230,"flacky wrap filled with assorted topping of veggies stir fry,Paneer tikka and s auce",Non Veg,[],4.4
Paneer Frankie,230,flacky paratha filled with assorted topping of veggies stir fry and sauce,Non Veg,[],4.7
Paneer Tikka Kathi Roll,250,flacky paratha filled with chineese style chicken chilli,Veg,[],4.3
Paneer Tikka Wrap,220,flacky paratha filled with chineese style chicken chilli,Non Veg,[],3.3
Veg Frankie,215,"flacky paratha filled with assorted topping of veggies stir fry,Chicken chunks and sauce",Veg,[],4.2
Chicken Chilli Roll,270,"flacky paratha filled with assorted topping of veggies stir fry,Chicken tikka peices and sauce",Veg,[],3.7
Chicken Chilly Wrap,255,"flacky wrap filled with assorted topping of veggies stir fry,Chicken tikka peices and sauce",Veg,[],4.1
Chicken Frankie,250,flacky wrap filled with veggitables and spices and chicken chunks,Veg,[],4.8
Chicken Tikka Kathi Roll,260,flacky paratha filled with onion and egges,Veg,[],4.5
