item_name,price,description,dietery,features,rating
Crispy Veg Burger,70,"Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 137 Gms| Kcal: 362 | Carbs 53.4 Gms| Sugar: 6.5 Gms| Fat: 12.8 Gms| Saturated fat: 4.9 Gms| Protein: 8.4 Gms| Sodium: 798.2 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.3
Crispy Chicken Burger,99,"Crispy Chicken Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 125 Gms| Kcal: 359.1 | Carbs 44.3 Gms| Sugar: 7.5 Gms| Fat: 15.1 Gms| Saturated fat: 4.8 Gms| Protein: 11.5 Gms| Sodium: 592.4 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.2
Crispy Veg Double Patty Burger,99,"Double Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 204 Gms| Kcal: 531.4 | Carbs 70.6 Gms| Sugar: 9.1 Gms| Fat: 22.7 Gms| Saturated fat: 9.2 Gms| Protein: 11.2 Gms| Sodium: 1068 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.5
Crispy Chicken Double Patty Burger,139,"Double Crispy Chicken Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 182 Gms| Kcal: 535.1 | Carbs 52.7 Gms| Sugar: 10.2 Gms| Fat: 28.3 Gms| Saturated fat: 10.4 Gms| Protein: 17.4 Gms| Sodium: 887.1 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,['Best Seller'],4.1
Original Whopper Veg,189,"Our Original Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 285 Gms| Kcal: 681.2 | Carbs 97.1 Gms| Sugar: 23.1 Gms| Fat: 25.4 Gms| Saturated fat: 9.8 Gms| Protein: 15.8 Gms| Sodium: 987.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.5
Original Whopper Chicken,209,"Our Original Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 280 Gms| Kcal: 667.2 | Carbs 59.1 Gms| Sugar: 8.7 Gms| Fat: 36.3 Gms| Saturated fat: 8.1 Gms| Protein: 26.2 Gms| Sodium: 1018.7 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,['Best Seller'],4.4
King Fries,139,The Perfect Crispy Partner Qty: 156 Gms| Kcal: 455 | Carbs 609.48 Gms| Sugar: 0 Gms| Fat: 19.7 Gms| Saturated fat: 9.31 Gms| Protein: 8 Gms| Sodium: 723.7 Mg Contains: Gluten,Veg,[],4.1
Medium Fries,119,The Perfect Crispy Partner. Qty: 114 Gms| Kcal: 332.5 | Carbs 445.39 Gms| Sugar: 0 Gms| Fat: 14.4 Gms| Saturated fat: 6.8 Gms| Protein: 5.9 Gms| Sodium: 528.8 Mg Contains: Gluten,Veg,['Best Seller'],4.5
King Peri Peri Fries,159,"Crispy Fries With Tangy Peri Peri Spice. Qty: 161 Gms| Kcal: 467.8 | Carbs 611.7 Gms| Sugar: 0.9 Gms| Fat: 20 Gms| Saturated fat: 9.3 Gms| Protein: 8.4 Gms| Sodium: 1193.7 Mg Contains: Gluten, Soybean",Non Veg,[],4.9
Chocolate Thick Shake,189,"Qty: Gms300 ML| Kcal: 496.08 | Carbs 87.69 Gms| Sugar: 61.44 Gms| Fat: 11.28 Gms| Saturated fat: 7.17 Gms| Protein: 10.95 Gms| Sodium: 10.68 Mg Contains: , Soybean , Milk",Veg,[],3.9
Crispy Veg Double Patty Burger+Fries(M),189,"Crispy Veg Double Patty Burger+Fries(M) Qty: 318 Gms| Kcal: 863.9 | Carbs 516 Gms| Sugar: 9.1 Gms| Fat: 37.1 Gms| Saturated fat: 16 Gms| Protein: 17.1 Gms| Sodium: 1596.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,['Best Seller'],4.2
4 Crispy Veg + 2 Medium Fries,400,"4 Crispy Veg + 2 Medium Fries Qty: 728 Gms| Kcal: 2101.2 | Carbs 1068.1 Gms| Sugar: 29.9 Gms| Fat: 89.2 Gms| Saturated fat: 32.7 Gms| Protein: 57.6 Gms| Sodium: 3427.2 Mg Contains: Gluten, Soybean , Milk , Sesame seeds",Non Veg,[],4.4
Crispy Veg Double Patty + Crispy Veg Double Patty,198,Crispy Veg Double Patty + Crispy Veg Double Patty,Veg,[],4.3
Veg Makhani Burst + Whopper Jr Veg,229,Veg Makhani Burst + Lite Whopper Jr Veg,Veg,[],4.7
Korean Spicy Paneer Burger,299,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg Contains: Gluten, Soybean , Milk """,Veg,[],4.3
Korean Spicy Paneer Burger.,259,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg Contains: Gluten, Soybean , Milk """,Veg,[],4.3
Korean Spicy Chicken Burger.,259,"""Crunchy Juicy whole muscle chicken patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours Qty: 227 Gms| Kcal: 607.27 | Carbs 55.14 Gms| Sugar: 31.59 Gms| Fat: 31.59 Gms| Saturated fat: 11.58 Gms| Protein: 25.58 Gms| Sodium: 1793.87 Mg Contains: Gluten, Soybean , Milk """,Veg,[],4.2
Korean Spicy Chicken Burger,299,"""Crunchy Juicy whole muscle chicken patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours Qty: 227 Gms| Kcal: 607.27 | Carbs 55.14 Gms| Sugar: 31.59 Gms| Fat: 31.59 Gms| Saturated fat: 11.58 Gms| Protein: 25.58 Gms| Sodium: 1793.87 Mg Contains: Gluten, Soybean , Milk """,Veg,[],4.6
Korean Spicy Fries,159,"""Cheesy Fries with hot and sweet Korean glaze. Qty: 174 Gms| Kcal: 496.70 | Carbs 53.57 Gms| Sugar: 10.88 Gms| Fat: 28.29 Gms| Saturated fat: 10.14 Gms| Protein: 6.94 Gms| Sodium: 1469.93 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.6
Korean Spicy Fries.,139,"""Cheesy Fries with hot and sweet Korean glaze. Qty: 174 Gms| Kcal: 496.70 | Carbs 53.57 Gms| Sugar: 10.88 Gms| Fat: 28.29 Gms| Saturated fat: 10.14 Gms| Protein: 6.94 Gms| Sodium: 1469.93 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,['Best Seller'],4.3
2Crispy Veg Double Patty Burger+Korean Spicy Fries.,259,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 155 Gms| Kcal: 350.176 | Carbs 27.51 Gms| Sugar: 0 Gms| Fat: 15.5 Gms| Saturated fat: 5.75 Gms| Protein: 25.16 Gms| Sodium: 1592.60 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.5
Korean Spicy Chicken (4 Pc),199,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 221 Gms| Kcal: 595.04 | Carbs 24.77 Gms| Sugar: 0 Gms| Fat: 39.89 Gms| Saturated fat: 15.25 Gms| Protein: 34.23 Gms| Sodium: 2188.96 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.1
Korean Spicy Chicken (4pc) + Crispy Chicken Burger.,259,"""Chicken Wings dunked in hot and sweet Korean glaze. Qty: 172 Gms| Kcal: 496.80 | Carbs 28.19 Gms| Sugar: 0 Gms| Fat: 30.34 Gms| Saturated fat: 11.04 Gms| Protein: 27.74 Gms| Sodium: 2714.33 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.3
Korean Spicy Chicken (7 Pc),299,"Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 137 Gms| Kcal: 362 | Carbs 53.4 Gms| Sugar: 6.5 Gms| Fat: 12.8 Gms| Saturated fat: 4.9 Gms| Protein: 8.4 Gms| Sodium: 798.2 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],3.7
Korean Spicy Chicken Wings (4pc),229,"Our best-selling burger with crispy veg patty, fresh onion and our signature sauce",Non Veg,[],4.5
2Crispy Veg Burger+Korean Spicy Fries+2Coke.,399,"Crispy Chicken Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 125 Gms| Kcal: 359.1 | Carbs 44.3 Gms| Sugar: 7.5 Gms| Fat: 15.1 Gms| Saturated fat: 4.8 Gms| Protein: 11.5 Gms| Sodium: 592.4 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.5
2Crispy Chicken Burger+Korean Spicy Chicken(4pc)+2Coke.,449,"Enjoy Makhani Flavour With Mix Veg Patty Topped Up With Onion Qty: 135 Gms| Kcal: 315 | Carbs 48.5 Gms| Sugar: 8 Gms| Fat: 9.2 Gms| Saturated fat: 3.4 Gms| Protein: 9.6 Gms| Sodium: 768 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.4
2Whopper Jr Chicken+Korean Spicy Chicken(7pc).,509,Enjoy Makhani Flavour With Mix Veg Patty Topped Up With Onion,Veg,[],4.4
2Whopper Jr Veg+2Korean Spicy Fries.,509,"2 Crunchy Veg taco + med fries Qty: 125 Gms| Kcal: 316 | Carbs 41.7 Gms| Sugar: 8 Gms| Fat: 11.1 Gms| Saturated fat: 4.3 Gms| Protein: 10.7 Gms| Sodium: 780.5 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.4
Korean Spicy Paneer Burger Meal.,449,"Double Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 204 Gms| Kcal: 531.4 | Carbs 70.6 Gms| Sugar: 9.1 Gms| Fat: 22.7 Gms| Saturated fat: 9.2 Gms| Protein: 11.2 Gms| Sodium: 1068 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.5
Korean Spicy Chicken Burger Meal.,449,"Double Crispy Chicken Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 182 Gms| Kcal: 535.1 | Carbs 52.7 Gms| Sugar: 10.2 Gms| Fat: 28.3 Gms| Saturated fat: 10.4 Gms| Protein: 17.4 Gms| Sodium: 887.1 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.1
Korean Spicy Paneer+Korean Spicy Fries(M).,359,"Crunchy Taco Shell With Chicken Patty, Veggies And Spicy Sauce. Qty: 135 Gms| Kcal: 262 | Carbs 24.8 Gms| Sugar: 2.9 Gms| Fat: 16 Gms| Saturated fat: 5.5 Gms| Protein: 5.1 Gms| Sodium: 525.9 Mg Contains: Soybean, Milk",Non Veg,[],4.3
Korean Spicy Chicken+Korean Spicy Fries(M).,359,"BK Veg Patty, Lettuce, Tomato(Seasonal) & Our Signature Mayo Sauce. Qty: 152 Gms| Kcal: 352.5 | Carbs 45.4 Gms| Sugar: 7.8 Gms| Fat: 13.6 Gms| Saturated fat: 4.7 Gms| Protein: 12 Gms| Sodium: 593.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],2.7
Korean Spicy Chicken Wings(4pc) + Korean Spicy Chicken (4pc).,379,"BK Chicken Patty, Lettuce, Tomato(Seasonal) & Our Signature Mayo Sauce. Qty: 164 Gms| Kcal: 415 | Carbs 39 Gms| Sugar: 7.2 Gms| Fat: 21.2 Gms| Saturated fat: 7.2 Gms| Protein: 17 Gms| Sodium: 283.9 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],3.0
Crispy Veg Burger,70,"Our Original Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 285 Gms| Kcal: 681.2 | Carbs 97.1 Gms| Sugar: 23.1 Gms| Fat: 25.4 Gms| Saturated fat: 9.8 Gms| Protein: 15.8 Gms| Sodium: 987.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.6
Crispy Veg Burger.,59,"Our Original Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 285 Gms| Kcal: 681.2 | Carbs 97.1 Gms| Sugar: 23.1 Gms| Fat: 25.4 Gms| Saturated fat: 9.8 Gms| Protein: 15.8 Gms| Sodium: 987.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.6
Crispy Chicken Burger,99,"Our Original Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 280 Gms| Kcal: 667.2 | Carbs 59.1 Gms| Sugar: 8.7 Gms| Fat: 36.3 Gms| Saturated fat: 8.1 Gms| Protein: 26.2 Gms| Sodium: 1018.7 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.6
Veg Makhani Burst Burger,80,"Our Original Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 280 Gms| Kcal: 667.2 | Carbs 59.1 Gms| Sugar: 8.7 Gms| Fat: 36.3 Gms| Saturated fat: 8.1 Gms| Protein: 26.2 Gms| Sodium: 1018.7 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.6
Veg Makhani Burst Burger.,59,"Our Signature Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces Qty: 194 Gms| Kcal: 456 | Carbs 61.6 Gms| Sugar: 9.2 Gms| Fat: 20 Gms| Saturated fat: 11.9 Gms| Protein: 7.2 Gms| Sodium: 1428.1 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Veg,[],4.7
Chicken Makhani Burst Burger,109,"Our Signature Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces Qty: 167 Gms| Kcal: 369 | Carbs 43.4 Gms| Sugar: 8.4 Gms| Fat: 13.7 Gms| Saturated fat: 6.2 Gms| Protein: 18 Gms| Sodium: 1314.3 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.7
Crispy Veg Double Patty Burger,99,"Our signature Whopper with Flame Grilled Mutton Patty, Onions, Lettuce, Tomatoes, Gherkins, Creamy & Smoky Sauces",Non Veg,[],2.8
Crispy Chicken Double Patty Burger,139,Jr Chicken Whopper Double Patty with Cheese Slice,Veg,[],4.6
Crunchy Chicken Taco,119,Original Whopper Veg Double Patty with Cheese Slice,Veg,['Best Seller'],4.1
Crispy Chicken Triple Cheese Burger.,139,Original Whopper Chicken Double Patty with Cheese Slice,Veg,[],4.0
BK Veggie Burger,139,"Qty: 234 Gms | Kcal: 676.2 | Carbs 63.2 Gms | Sugar: 9.7 Gms | Fat: 35.6 Gms | Saturated fat: 18 Gms | Protein: 25.3 Gms | Sodium: 1077.9 Mg Contains: Gluten, Soybean , Milk",Veg,['Best Seller'],4.4
BK Chicken Burger,149,"60 gm Paneer Patty, Sauces In Soft Tortilla Wrap. Qty: 234 Gms| Kcal: 676.2 | Carbs 63.2 Gms| Sugar: 9.7 Gms| Fat: 35.6 Gms| Saturated fat: 18 Gms| Protein: 25.3 Gms| Sodium: 1077.9 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.5
BK Veggie Triple Cheese Burger.,139,"Chilli Creamy Patty, Spicy Sauce, in premium Brioche buns. Qty: 255 Gms| Kcal: 682 | Carbs 82 Gms| Sugar: 17.5 Gms| Fat: 31.4 Gms| Saturated fat: 12.1 Gms| Protein: 17.9 Gms| Sodium: 1198.5 Mg Contains: Soybean, Milk",Veg,['Best Seller'],4.3
Original Whopper Veg,189,"Chilli Creamy Patty, Spicy Sauce, in premium Brioche buns.",Veg,[],4.5
Original Whopper Veg.,139,"Qty: 252 Gms | Kcal: 483.8 | Carbs 50.6 Gms | Sugar: 9.3 Gms | Fat: 22.5 Gms | Saturated fat: 8.2 Gms | Protein: 19.8 Gms | Sodium: 1176.5 Mg Contains: Gluten, Soybean , Milk",Veg,['Best Seller'],4.9
Original Whopper Chicken,209,"Spicy Fried Chicken, Loads Of Sauces In Soft Tortilla Wrap. Qty: 252 Gms| Kcal: 483.8 | Carbs 50.6 Gms| Sugar: 9.3 Gms| Fat: 22.5 Gms| Saturated fat: 8.2 Gms| Protein: 19.8 Gms| Sodium: 1176.5 Mg Contains: Gluten, Soybean, Milk",Veg,[],3.9
Original Whopper Chicken.,139,"Flame Grilled Tandoori Chicken, Veg Khurchan in premium Brioche buns.. Qty: 236 Gms| Kcal: 502.7 | Carbs 62.7 Gms| Sugar: 6.9 Gms| Fat: 15 Gms| Saturated fat: 8.8 Gms| Protein: 29.4 Gms| Sodium: 1106.8 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.7
Whopper Jr Veg,149,"Flame Grilled Tandoori Chicken, Veg Khurchan in premium Brioche buns.",Veg,[],4.2
