item_name,price,description,dietery,features,rating
Kuduk Special Chicken Lollipop,219,"Comes with sauces and mayonnaise | Serves 1 | | All time favourite juicy chicken lollipop made with fresh chicken | served with crispy on the outside, tender and juicy on the inside | Chef's Special |",Veg,[],4.1
Kuduk Special Chicken Boneless Strips,219,Comes with sauces and mayonnaise | 3 pieces | Serves 1 | Made with tender slices of chicken breast coated in a seasoned flour mixture and deep-fried until golden brown and crispy. Delicious and convenient option for snacking.,Non Veg,[],4.3
Kuduk 3 Wings 3 Lollipop,229,"Serves 1 | Delicious fried chicken wings and lollipops are made with tender, juicy chicken meat coated in a crispy and flavorful flour mixture. Perfect for snacking or as an appetizer.",Non Veg,[],4.3
Kuduk Large Hot & Crispy Chicken,229,"Serves 1 | Crunchy, juicy, and flavorful kuduk fried chicken made by coating chicken in a seasoned flour mixture and deep-frying until the exterior is crispy and the interior is juicy and flavorful. Served with dips.",Non Veg,[],3.8
Kuduk Chicken Hot Wings,219,"Serves 1 | Chef's special (served with crispy on the outside, tender and juicy on the inside) all time favourite sinfully juicy and crispy chicken wings cooked to perfection served with a dip.",Non Veg,[],4.4
Favourite Meal. 1,289,"chicken burger ,Single popcorn with 250 ML cold drink and 2 Big dips 2 ketchup",Veg,['Best Seller'],4.3
Favourite Meal. 2,299,"chicken burger,single popcorn,single fries with 250ml cold drink and big dips 2 ketchup",Non Veg,[],4.4
Favorite Meals 3,329,"1 chicken burger ,2 pcs wings 1 big crispy with 250ml cold drink and 2 big dips 2 ketchup",Non Veg,[],4.8
Favorite Meal 4,349,"1 chicken burger ,2 pcs lollipop,1 big crispy with 250ml cold drink and 2 big dips 2 ketchup",Veg,['Best Seller'],4.2
Kuduk Special Veg Wrap,129,"Serves 1 | A delightful wrap with mixed veggies inside a wrap, this wrap is all healthy and nutritious, as an added benefit. Then grilled to perfection.",Non Veg,[],4.1
Kuduk Special Chicken Wrap,179,"Serves 1 | A delightful wrap with mixed veggies and succulent chicken stuffed inside a wrap, and grilled to perfection.",Non Veg,[],4.2
Kuduk Grilled Veg Sandwich,89,"Serves 1 | Medium spicy classic grilled sandwich prepared with shredded fried fresh veggies accompanied with kuduk secret spices, sauce and mayonnaise.",Non Veg,[],3.9
Kuduk Grilled Chicken Sandwich,99,"Serves 1 | Medium spicy classic grilled sandwich prepared with shredded fried chicken accompanied with kuduk secret spices, sauce and mayonnaise.",Non Veg,[],4.3
Pocket Friendly Meal 1,359,Serves 1 | 1 special chicken burger + 1 chicken wrap + 1 large french fries + 2 big dip + 1 cold drink (250ml),Veg,[],4.1
Pocket Friendly Meal 2,379,Serves 1 | 1 chicken wrap + 1 large chicken popcorn + 2 chicken lollipop + 2 big dip + 1 cold drink (250ml),Non Veg,[],4.3
Pocket Friendly Meal 3,369,Serves 1 | 2 big crispy chicken + 2 chicken lollipop + 2 chicken wings + 2 big dip + 1 cold drink (250ml),Veg,['Best Seller'],4.2
Pocket Friendly Meal 4,379,Serves 1 | 2 big crispy chicken + 1 chicken popcorn biryani + 2 big dip + 1 cold drink (250ml),Veg,[],4.2
Pocket Friendly Meal 5,389,Serves 1 | 1 large chicken popcorn + 3 chicken wings + 3 chicken lollipop + 1 large french fries + 2 big dip + 1 cold drink (250ml),Non Veg,[],3.6
Pocket Friendly Meal 6,399,Serves 1 | 2 special chicken burger + 2 big crispy chicken + 2 big dip + 1 cold drink (250ml),Veg,['Best Seller'],4.0
Kuduk Special Veg Snack Box,279,Serves 1 | Flat rs. 26 off on this snack box 1 pc special veg burger + 1 veg wrap + large pack of french fries + 1 big dip + thumsup (250ml),Non Veg,[],3.8
Kuduk Special Chicken Snack Box,389,Serves 1 | 1 Special Chicken Burger+1 Large French Fries+2 Big Crispy Chicken+1 Big Dip+1 Thums Up [250ml],Non Veg,[],4.1
Kuduk Special Burger & Biryani Snack Box.,299,1 Special Chicken Burger+1 Chicken Popcorn Biryani+1 Big Dip+1 Thums Up [250ml],Non Veg,[],4.3
Kuduk Original Chicken Burger,149,Serves 1 | (Discover the new taste of the kuduk chicken burger) a delightfully juicy burger with our own baked bun and crispy crunchy chicken spread on a bed of onion slice and tomato slice. It can be served with kuduk secret sauce and mayonnaise.,Non Veg,[],4.2
Kuduk Chicken Patty Burger,169,Serves 1 | (discover the new taste of the kuduk chicken burger) a delightfully juicy burger with our own baked bun and crispy crunchy chicken patty spread on a bed of onion slice & tomato slice. It can be served with kuduk secret sauce and mayonnaise.,Non Veg,[],4.2
Kuduk Peri Peri Chicken Burger,169,Serves 1 | (discover the new taste of the kuduk chicken burger) a delightfully juicy burger with our own baked bun and crispy crunchy chicken spread on a bed of onion slice and tomato slice. It can be served with kuduk secret sauce and mayonnaise.,Veg,['Best Seller'],4.9
Kuduk Max Chicken Burger,219,Serves 1 | (discover the new taste of the kuduk veg burgers) kuduk healthy burger option made with mixed veggie spread on a bed of onion slice & tomato slice. It is an ideal quick and healthy meal and can be served with kuduk secret sauce and mayonnaise.,Non Veg,[],3.7
Kuduk Original Veg Burger,149,Serves 1 | (discover the new taste of the kuduk veg burgers) kuduk deliciously spicy burger with an incredibly vegetable patty in peri peri sauce. It is an ideal quick and healthy meal and can be served with kuduk secret peri peri sauce and mayonnaise.,Veg,[],4.1
Kuduk Peri Peri Veg Burger,149,Serves 1 | (discover the new taste of the kuduk veg burgers) kuduk healthy crispy aloo tikki burger made with potato patty & onion slice. It is an ideal quick and healthy meal and can be served with kuduk secret sauce and mayonnaise.,Non Veg,[],3.6
Kuduk Crispy Aloo Patty Burger,139,Serves 1,Non Veg,[],4.6
Peri Peri Dip,15,Serves 1 | Save rs. 129 on this combo (100% halal) 3 pcs special chicken burger + 1 large pack popcorn + 1 large pack of french fries + 2 big dip + 1 thumsup (250ml),Veg,['Best Seller'],3.2
Hat-trick Combo,519,Serves 1 | Save rs. 138 on this combo (100% halal) 2 pcs big crispy chicken + 4 pcs chicken lollipop + 1 special chicken burger + 1 large pack of french fries + 2 big dip + 1 thumsup (250ml),Non Veg,[],2.1
Student Combo,499,Serves 1 | Save rs. 167 on this combo (100% halal) 4 pcs big crispy chicken + 6 pcs chicken wings + 4 pcs chicken lollipop + 1 large pack popcorn + 2 big dip + 1 thumsup (500ml),Veg,['Best Seller'],4.5
Small House Party Combo,699,Serves 1 | Save rs. 184 on this combo 4 pcs big crispy chicken + 6 pcs chicken wings + 6 pcs chicken lollipop + 1 large pack popcorn + 1 large pack of french fries + 2 big dip + 1 thumsup (500ml),Non Veg,[],4.6
Ultimate Saving Combo,799,Serves 1 | Save rs. 229 on this combo 3 pcs special chicken burger + 4 pcs big crispy chicken + 6 pcs chicken wings + 6 pcs chicken lollipop + 1 large pack popcorn + 2 big dip + 1 thumsup (500ml),Non Veg,[],4.3
Big House Party Combo,999,Serves 1 | Save rs. 49 on this bucket (100% halal) 1 large pack popcorn + 2 pcs chicken lollipop + 2 pcs chicken wings + 2 big dip + thumsup (250ml),Non Veg,[],4.4
Bucket For Two Friends,349,Serves 1 | Save rs. 129 on this bucket (100% halal) 1 large pack popcorn + 2 pcs special chicken burger + 4 pcs chicken lollipop + 4 pcs chicken wings + 2 big dip + thumsup (500ml),Veg,['Best Seller'],4.6
Friendship Bucket,599,Serves 1 | 1 large pack popcorn + 1 popcorn rice bowl + 2 pcs special chicken burger + 3 pcs chicken wings + 3 pcs chicken lollipop + 2 big dip + thumsup (500ml),Veg,[],4.2
Get Together Bucket,699,Serves 1 | 1 large pack popcorn + 2 pcs special chicken burger + 3 pcs big crispy chicken + 6 pcs chicken lollipop + 6 pcs chicken wings + 4 big dip + thumsup (500ml),Veg,[],4.5
Family Bucket,849,"Serves 1 | Save ?39 off on this rice bowl rice layered with spicy, exotic gravy and topped off with crispy chicken lollipop. (for 1 person 2 big pcs lollipop with delicious saffron rice)",Veg,[],4.7
Kuduk Chicken Lollipop Biryani (serve 1),219,"Serves 1 | Save ?39 off on this rice bowl rice layered with spicy, exotic gravy and topped off with crispy chicken popcorns. (for 1 person loaded popcorns with delicious saffron rice)",Veg,[],2.8
Kuduk Chicken Popcorn Biryani (serve 1),219,"Serves 1 | Save ?29 off on this rice bowl rice layered with spicy, exotic gravy and topped off with crispy mixed veggie patty. (for 1 person veggie patty with delicious saffron rice)",Non Veg,[],2.0
Kuduk Veggie Biryani (serve 1),199,Serves 1 | Save rs. 169 off on this bucket (100% halal) 6 pcs big crispy chicken + 2 big dip + thumsup (500ml),Non Veg,[],4.8
6 Big Pcs Hot & Crispy Chicken,599,Serves 1 | Save rs. 149 off on this bucket (100% halal) 4 pcs big crispy chicken + 2 big dip + thumsup (500ml),Non Veg,[],2.7
4 Big Pcs Hot & Crispy Chicken,349,Serves 1 | Save rs. 228 off on this bucket (100% halal) 8 pcs big crispy chicken + 2 big dip + thumsup (500ml),Non Veg,[],4.1
8 Big Pcs Hot & Crispy Chicken,699,Slice the potatoes to a width of your choice and enjoy your meal with crispy crunchy large pack of kuduk regular fries.,Non Veg,[],3.4
Kuduk Regular French Fries (loaded),189,Slice the potatoes to a width of your choice and enjoy your meal with crispy crunchy large pack of kuduk regular fries tossed with soft & spice mix,Non Veg,[],3.4
