item_name,price,description,dietery,features,rating
Paneer Butter Masala + Baby Naan 2 Pc,279,"Comes with SALAD | Paneer cooked with onion and tomato in butter, adding to the aroma. One of the highest selling veg dishes. Served with 2 baby naan",Veg,[],4.1
Dal Tadaka + Steam Rice,259,A protein rich yellow lentils prepared in a variety of spices Served with jeera rice is a perfect combination to satisfy your taste buds.,Non Veg,[],4.2
Galawati Kabab (2 Pcs) + 2 Paratha,299,Serve 1,Veg,[],4.0
Qtr Chicken Masala + 2 Paratha,359,Serve 1,Veg,[],4.2
Mutton Boti (Half) + 2 Paratha,339,Serve 1,Non Veg,[],4.6
Mutton Gravy 1 Pc + Biryani Rice + Roti 2pcs,329,Serve 1,Non Veg,[],4.6
Mutton Gravy 1 Pc + Biryani Rice + Roti 2 Pc,299,Comes with SALAD | Serve 1,Non Veg,[],3.8
Mutton Shami Kebab (2pcs) + 2 Paratha,329,Serve 1,Non Veg,[],4.1
Chicken Biryani Qtr (1Pcs) + Onion + Gravy,220,Comes with SALAD | Qtr Chicken Biryani + Raita + Gravy,Non Veg,[],4.3
Mutton Shami Kebab Roll,150,Comes with CHUTNEY | Serve with chutni,Non Veg,[],4.1
Mutton Boti Kebab Roll,170,A scrumptious roll stuffed generously with juicy mutton chunks and assorted veggies,Non Veg,[],4.3
Chicken Shawarma Roll,170,Comes with Mayonnies & Green chutni | Serve with chutni and Mayo,Non Veg,[],4.2
Mutton Galawati Kebab Roll,150,Serve with chutni,Non Veg,[],4.3
Butter Chicken Roll,180,Smokey Chicken Tossed in creamy butter chicken gravy rapped in paratha|Serve with chutni,Non Veg,[],4.1
Veg Kebab Roll,99,Comes with CHUTNEY | Serve with chutni,Veg,['Best Seller'],4.1
Paneer Shawarma,170,"Succulent paneer wrapped in a warm, fluffy roll with a flavorful twist.",Non Veg,[],5.0
Mutton Galawati Kebab,190,"Medium Spicy | Soft, melt-in-the-mouth kebabs made from minced mutton, infused with aromatic spices.",Non Veg,[],4.1
Mutton Shami Kebab.,180,"Mughlai delicacy prepared with minced mutton mixed with egg, onions and a blend of spices.",Veg,['Best Seller'],4.0
Mutton Boti Kebab.,280,"Mughlai delicacy prepared with minced mutton mixed with egg, onions and a blend of spices.",Veg,[],4.5
Hariyali Kebab (6Pcs),299,Serve With Chutni & Masala Onion,Veg,['Best Seller'],4.5
Fried Rice + Paneer Chilly Gravy,279,Fresh veggies tossed in a pan with steamed rice and flavorful spices - perfect to satisfy your hunger pangs served with paneer Chilly gravy,Veg,[],3.8
Noodles + Paneer Chilly Gravy,279,Serve 1,Non Veg,[],4.0
Fried Rice + Veg Manchurian Gravy,279,Serve 1,Veg,['Best Seller'],3.9
Jeera Rice + Kadhai Paneer Gravy,279,Comes with SALAD | Aromatic rice cooked in a tempering of cumin and whole spices. Served with kadhai paneer,Non Veg,[],4.3
Noodles + Veg Manchurian Gravy,279,Serve 1,Non Veg,[],4.1
Paneer Butter Masala + Baby Naan 2 Pc,279,"Comes with SALAD | Paneer cooked with onion and tomato in butter, adding to the aroma. One of the highest selling veg dishes. Served with 2 baby naan",Veg,[],4.1
Dal Tadaka + Steam Rice,259,A protein rich yellow lentils prepared in a variety of spices Served with jeera rice is a perfect combination to satisfy your taste buds.,Veg,[],4.2
Chicken Gravy 1 Pc + Biryani Rice + Roti 2 Pc,299,Comes with SALAD | Serve 1,Veg,[],3.8
Galawati Kabab (2 Pcs) + 2 Paratha,299,Serve 1,Veg,[],4.0
Qtr Chicken Masala + 2 Paratha,359,Serve 1,Veg,[],4.2
Mutton Boti (Half) + 2 Paratha,339,Serve 1,Veg,[],4.6
Mutton Gravy 1 Pc + Biryani Rice + Roti 2pcs,329,Serve 1,Veg,[],4.6
Mutton Gravy 1 Pc + Biryani Rice + Roti 2 Pc,299,Comes with SALAD | Serve 1,Veg,[],3.8
Mutton Shami Kebab (2pcs) + 2 Paratha,329,Serve 1,Non Veg,[],4.1
Chicken Biryani Qtr (1Pcs) + Onion + Gravy,220,Comes with SALAD | Qtr Chicken Biryani + Raita + Gravy,Non Veg,[],4.3
Chicken Roll,170,Medium Spicy | Soft rumali roti rolled in with juicy strips of tender chicken and wholesome cheese. item can't be served with sauce and dips,Non Veg,[],4.2
